"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","187","Регистрация пользователя без пароля","","Tue Dec 24 10:52:40 GMT 2024","passed","Tue Dec 24 10:52:41 GMT 2024","","tests.TestAPI","tests.TestAPI","registerFailure"
"","209","Обновление несуществующего пользователя","","Tue Dec 24 10:52:41 GMT 2024","failed","Tue Dec 24 10:52:41 GMT 2024","","tests.TestAPI","tests.TestAPI","updateUserFailure"
"","345","Информация о несуществующем пользователе","","Tue Dec 24 10:52:39 GMT 2024","passed","Tue Dec 24 10:52:40 GMT 2024","","tests.TestAPI","tests.TestAPI","getUserFailure"
"","41","Информация о существующем пользователе","","Tue Dec 24 10:52:41 GMT 2024","passed","Tue Dec 24 10:52:41 GMT 2024","","tests.TestAPI","tests.TestAPI","getUserSuccess"
"","1650","Удаление существующего пользователя","","Tue Dec 24 10:52:38 GMT 2024","failed","Tue Dec 24 10:52:39 GMT 2024","","tests.TestAPI","tests.TestAPI","deleteUserSuccess"
"","325","Регистрация с корректными данными","","Tue Dec 24 10:52:40 GMT 2024","passed","Tue Dec 24 10:52:40 GMT 2024","","tests.TestAPI","tests.TestAPI","registerSuccess"
"","211","Обновление существующего пользователя","","Tue Dec 24 10:52:41 GMT 2024","passed","Tue Dec 24 10:52:41 GMT 2024","","tests.TestAPI","tests.TestAPI","updateUserSuccess"
"","190","Удаление несуществующего пользователя","","Tue Dec 24 10:52:40 GMT 2024","failed","Tue Dec 24 10:52:40 GMT 2024","","tests.TestAPI","tests.TestAPI","deleteUserFailure"
